no	period	company	project_key	dc_name	contractor	owner	location	amount_bn	mw	mw2	x1	x2	공사명	발주처	계약일	완공예정일	기본도급액	완성공사액	계약잔액	단위
229	21Q3	삼성물산	수원DC2차Retrofit공사	#N/A	삼성물산	#N/A	#N/A	152	#N/A	#N/A	N/A	N/A	수원DC 2차 Retrofit 공사	삼성전자(주)	2018-01-01	2021-05-01	151,896	148,957	2,939	백만원
230	22Q1	삼성물산	하남IDC신축공사소방공사	#N/A	삼성물산	#N/A	#N/A	7	#N/A	#N/A	N/A	N/A	하남 IDC 신축공사 소방공사	(주) 우리은행	2021-08-01	2023-11-01	7,090	0	7,090	백만원
231	22Q2	삼성물산	하남IDC신축공사소방공사	#N/A	삼성물산	#N/A	#N/A	7	#N/A	#N/A	N/A	N/A	하남 IDC 신축공사 소방공사	㈜ 우리은행	2021-08-25	2023-11-28	7,090		7,090	백만원
232	22Q3	삼성물산	하남IDC신축공사소방공사	#N/A	삼성물산	#N/A	#N/A	7	#N/A	#N/A	N/A	N/A	하남 IDC 신축공사 소방공사	㈜ 우리은행	2021-08-25	2023-11-28	7,090		7,090	백만원
233	22Q4	삼성물산	하남IDC신축공사소방공사	#N/A	삼성물산	#N/A	#N/A	7	#N/A	#N/A	N/A	N/A	하남 IDC 신축공사 소방공사	㈜ 우리은행	2021-08-25	2023-11-28	7,090		7,090	백만원
234	21Q4	삼성물산	화성HPC센터신축공사	삼성전자 화성캠퍼스 HPC센터	삼성물산	삼성전자	경기도 화성시 반월동	137	N/A	N/A	N/A	N/A	화성 HPC 센터 신축공사	삼성전자(주)	2021-11-01	2023-12-01	136,710	690	136,020	백만원
235	22Q1	삼성물산	화성HPC센터신축공사	삼성전자 화성캠퍼스 HPC센터	삼성물산	삼성전자	경기도 화성시 반월동	137	N/A	N/A	N/A	N/A	화성 HPC 센터 신축공사	삼성전자(주)	2021-11-01	2023-12-01	136,710	4,246	132,464	백만원
236	22Q2	삼성물산	화성HPC센터신축공사	삼성전자 화성캠퍼스 HPC센터	삼성물산	삼성전자	경기도 화성시 반월동	137	N/A	N/A	N/A	N/A	화성 HPC 센터 신축공사	삼성전자(주)	2021-11-15	2023-12-31	136,710	11,045	125,665	백만원
237	22Q3	삼성물산	화성HPC센터신축공사	삼성전자 화성캠퍼스 HPC센터	삼성물산	삼성전자	경기도 화성시 반월동	422	N/A	N/A	N/A	N/A	화성 HPC 센터 신축공사	삼성전자(주)	2021-11-15	2023-12-31	421,924	22,122	399,802	백만원
238	22Q4	삼성물산	화성HPC센터신축공사	삼성전자 화성캠퍼스 HPC센터	삼성물산	삼성전자	경기도 화성시 반월동	422	N/A	N/A	N/A	N/A	화성 HPC 센터 신축공사	삼성전자(주)	2021-11-15	2024-05-31	421,924	38,757	383,167	백만원
239	21Q4	현대건설	PUS05	MS 부산 데이터센터	현대건설	마이크로소프트	부산광역시 강서구 구랑동	50	40	N/A	1.3	N/A	MS데이터센터	마이크로소프트	2019-01-01	2022-03-23	50,326	41,224	9,102	백만원
240	21Q4	현대건설	ACTIS데이터센터	액티스 디토 양평 데이터센터	현대건설	ACTIS	서울특별시 영등포구 양평동3가	229	40	26	5.7	8.8	ACTIS 데이터센터	디토피에프브이(주)	2021-07-27	2024-04-30	228,535	1,681	226,854	백만원
241	22Q1	현대건설	용인죽전퍼시픽써니데이터센터	죽전 데이터센터	현대건설	퍼시픽자산운용	경기도 용인시 수지구 죽전동	535	100	64	5.4	8.4	용인 죽전 데이터센터	퍼시픽써니제45호전문투자형사모부동산투자회사	2022-02-28	2024-06-30	535,427	2,761	532,666	백만원
242	22Q1	현대건설	ACTIS데이터센터	액티스 디토 양평 데이터센터	현대건설	ACTIS	서울특별시 영등포구 양평동3가	229	40	26	5.7	8.8	ACTIS 데이터센터	디토피에프브이(주)	2021-07-27	2024-06-21	228,535	5,472	223,063	백만원
243	22Q1	현대건설	PUS05	MS 부산 데이터센터	현대건설	마이크로소프트	부산광역시 강서구 구랑동	52	40	N/A	1.3	N/A	MS데이터센터	마이크로소프트 5673 코리아	2019-01-01	2022-08-31	51,886	50,113	1,773	백만원
244	22Q4	현대건설	네이버 데이터센터	#N/A	현대건설	#N/A	#N/A	462	#N/A	#N/A	N/A	N/A	네이버 데이터센터	네이버 주식회사	2020-10-16	2023-02-15	462,241	333,220	129,021	백만원
